ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
32,2201,some college,88394,4.0,3.6,4
30,2108,high school,59958,3.9,3.4,4
27,1904,some high school,45773,3.5,3.2,5
26,1865,some high school,54111,3.3,3.1,4
23,1716,high school,59986,3.1,3.1,5
31,2169,some college,55231,4.0,3.3,4
27,2029,some college,61646,3.8,3.5,3
28,1852,some high school,56771,3.5,3.5,5
34,2256,bachelor's degree,103336,4.0,3.8,4
34,2225,master's degree,93661,4.0,3.7,4
30,2074,associate's degree,84684,4.0,3.4,5
26,1825,bachelor's degree,75402,3.5,3.2,5
28,1944,high school,57573,3.7,3.2,5
30,2078,associate's degree,65759,4.0,3.6,5
34,2172,high school,55519,4.0,3.6,4
28,1969,high school,70270,3.7,3.4,4
27,2040,some college,46423,3.7,3.1,7
28,2044,associate's degree,54718,3.9,3.6,4
29,1984,associate's degree,55972,3.8,3.3,4
33,2310,bachelor's degree,87373,4.0,3.7,4
23,1639,some college,80879,2.9,2.7,9
30,2086,associate's degree,112591,4.0,3.9,5
25,1737,high school,61832,3.2,3.6,4
25,1959,master's degree,72203,3.5,3.6,3
25,1814,some college,56924,3.4,3.2,8
28,1984,bachelor's degree,54818,3.7,3.1,4
30,2064,some college,90895,4.0,3.7,4
28,1885,some college,88186,3.6,3.6,6
29,2075,associate's degree,88598,3.8,3.5,6
26,1823,high school,55130,3.3,3.2,4
26,1855,high school,54012,3.3,3.3,6
28,1924,some high school,57731,3.6,3.3,5
31,2130,bachelor's degree,93025,4.0,3.6,4
27,1932,some high school,61554,3.6,3.2,4
29,1928,some high school,38447,3.5,3.2,5
27,1997,some high school,5568,3.6,2.8,6
29,2125,associate's degree,84045,3.9,3.4,6
27,1909,high school,67560,3.5,3.6,5
31,2162,master's degree,80848,4.0,3.5,5
30,2057,bachelor's degree,96903,4.0,3.6,4
31,2097,high school,59722,4.0,3.6,6
23,1762,high school,62028,3.3,3.0,9
27,1903,some high school,62144,3.5,3.2,4
28,1916,high school,50054,3.6,3.2,6
27,1861,associate's degree,75259,3.4,3.7,3
27,1866,high school,61662,3.5,3.5,5
27,1892,some high school,20419,3.5,3.1,7
25,1828,bachelor's degree,78580,3.4,3.2,4
29,2107,bachelor's degree,88412,3.9,3.7,6
27,1997,some high school,43312,3.8,3.3,5
27,1898,high school,34754,3.5,3.1,7
27,1910,associate's degree,76739,3.5,3.3,6
30,2007,high school,75381,3.9,3.3,6
30,1973,high school,61058,3.7,3.3,6
27,1930,some high school,36591,3.4,2.9,6
29,2001,high school,41815,3.7,3.3,9
29,2077,associate's degree,42746,3.9,3.2,6
27,1868,some high school,61989,3.6,3.2,7
27,1923,high school,32024,3.6,2.9,9
27,1904,some high school,46641,3.5,3.1,7
22,1663,some high school,59679,3.0,3.0,8
27,1753,some high school,34311,3.3,2.9,6
32,2180,master's degree,97716,4.0,3.6,4
27,1950,high school,64863,3.5,3.2,8
30,2062,some high school,52118,3.9,3.4,6
32,2089,some college,56603,4.0,3.3,4
28,2016,associate's degree,84476,3.8,3.4,5
25,1782,high school,54347,3.3,2.8,6
26,1850,some high school,27537,3.4,2.8,7
31,2078,associate's degree,79113,4.0,3.5,4
29,2023,some high school,44931,3.7,3.4,9
27,1896,associate's degree,82192,3.6,3.5,4
31,2135,bachelor's degree,79745,4.0,3.5,4
30,1968,high school,75083,3.9,3.6,5
30,2048,associate's degree,75468,3.9,3.5,4
25,1771,some high school,55650,3.2,2.7,6
25,1743,high school,44617,3.1,3.1,7
24,1741,some high school,41848,3.1,3.2,6
28,1932,some high school,26267,3.5,3.1,5
25,1969,some high school,41768,3.6,3.2,5
30,1854,some high school,60442,3.7,3.2,4
27,1864,some college,60779,3.5,3.2,4
32,2270,some college,71722,4.0,3.6,4
31,2120,bachelor's degree,45924,4.0,3.0,6
31,2153,some college,70639,4.0,3.6,4
28,1989,some college,64588,3.8,3.2,4
30,2088,some college,84622,4.0,3.2,5
31,2240,high school,72958,4.0,3.7,5
30,2004,bachelor's degree,73827,3.9,3.0,5
27,1902,associate's degree,52761,3.4,3.0,5
29,1954,high school,66407,3.8,3.3,5
29,2068,bachelor's degree,75422,3.9,3.4,5
27,1884,high school,33638,3.4,2.8,7
32,2049,some high school,60075,3.9,3.4,4
31,2183,master's degree,75594,4.0,3.9,6
26,1866,associate's degree,61110,3.4,3.2,7
25,1824,some high school,61499,3.3,3.5,3
26,1867,some college,46535,3.4,3.3,5
34,2194,high school,38996,4.0,3.5,7
25,1915,associate's degree,61642,3.5,3.3,4
