ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
31,2121,master's degree,77542,4.0,3.8,4
30,2133,high school,58535,4.0,3.4,4
30,2088,some college,80588,4.0,3.6,6
27,1857,high school,35046,3.4,3.1,5
31,2044,some college,50075,4.0,3.4,4
26,1878,some high school,32344,3.4,2.7,7
29,2069,bachelor's degree,77176,4.0,3.6,3
34,2258,associate's degree,58179,4.0,3.4,5
30,2107,some college,39511,4.0,3.4,8
25,1822,some high school,42951,3.4,2.9,6
26,1887,some college,80109,3.4,3.2,4
27,2057,bachelor's degree,80530,3.8,3.2,4
35,2314,associate's degree,87257,4.0,3.6,4
22,1597,some high school,57336,2.8,2.9,5
31,2190,some college,68947,4.0,3.8,3
27,2000,some college,60563,3.7,3.3,5
32,2076,high school,36359,3.9,3.2,5
28,1984,some college,65898,3.8,3.2,4
30,2019,high school,45999,3.9,3.3,6
29,2013,some college,68812,3.8,3.4,4
25,1915,high school,37238,3.3,3.1,7
26,1819,some high school,23862,3.2,3.0,6
28,2006,high school,66544,3.8,3.5,4
30,2130,bachelor's degree,81896,4.0,3.7,3
27,1887,bachelor's degree,85425,3.6,3.7,3
25,1740,some high school,65882,3.3,3.2,6
35,2310,associate's degree,100264,4.0,3.8,4
29,2086,some college,85427,3.9,3.5,4
33,2116,high school,52613,4.0,3.7,3
29,2009,some college,65041,3.8,3.5,4
34,2322,bachelor's degree,63317,4.0,3.3,6
30,2120,master's degree,106592,4.0,3.7,7
31,2087,associate's degree,63773,4.0,3.3,5
31,2062,high school,52430,4.0,3.6,3
25,1825,associate's degree,43160,3.4,3.1,6
32,2213,associate's degree,65456,4.0,3.4,6
27,1933,high school,65335,3.7,3.7,3
28,2020,some college,68655,3.8,3.4,4
26,1978,bachelor's degree,71073,3.6,3.3,4
28,1956,high school,80980,3.7,3.4,5
27,1884,some high school,66879,3.5,3.6,3
27,1988,some college,76919,3.8,3.2,7
28,1970,some college,76113,3.6,3.5,5
28,1928,high school,63224,3.6,3.2,5
27,1954,some high school,45522,3.7,3.1,5
32,2148,associate's degree,84292,4.0,3.4,5
31,2032,high school,57342,3.9,3.2,5
30,1944,high school,45143,3.6,3.6,6
29,2006,some high school,62383,3.7,3.5,3
28,1992,some college,54736,3.7,3.4,4
27,1949,associate's degree,69474,3.6,3.6,4
27,1998,bachelor's degree,84222,3.6,3.4,4
30,1943,associate's degree,61692,3.8,3.4,8
24,1733,some high school,61719,3.1,3.4,4
29,2005,some high school,52533,3.8,3.5,4
28,1901,master's degree,84971,3.6,3.5,6
27,2017,master's degree,104369,3.6,3.4,6
28,1885,high school,41651,3.5,3.4,6
29,1957,some college,95877,3.6,3.3,4
32,2124,associate's degree,70951,4.0,3.8,4
25,1951,bachelor's degree,102309,3.6,3.2,6
27,1943,some high school,63269,3.5,3.0,5
29,2115,associate's degree,42899,4.0,3.7,4
31,2151,bachelor's degree,72279,4.0,3.7,5
26,1846,associate's degree,82901,3.5,3.5,4
30,2061,associate's degree,80425,3.9,3.6,4
35,2310,master's degree,71121,4.0,3.6,6
29,2025,some college,85800,3.8,3.5,4
26,1717,some high school,30405,3.1,3.0,6
22,1621,bachelor's degree,81012,3.0,3.4,3
29,2064,high school,77925,3.9,3.4,4
32,2137,some college,64827,4.0,3.2,5
30,2138,associate's degree,61668,4.0,3.2,6
30,2109,high school,42074,4.0,3.7,4
25,1788,bachelor's degree,87081,3.4,3.5,5
30,2116,some college,81772,4.0,3.7,6
29,2005,some college,59676,3.8,3.2,4
28,1917,some high school,80008,3.6,3.6,4
30,1963,associate's degree,86746,3.8,3.5,5
31,2094,high school,49609,4.0,3.6,6
28,2057,some high school,51268,3.8,3.7,3
30,2053,associate's degree,56912,3.9,3.7,3
27,2068,some college,86130,3.7,3.5,6
28,1932,some high school,33045,3.5,3.1,5
28,1940,high school,53619,3.6,3.6,3
30,2055,master's degree,89984,4.0,3.6,4
24,1772,some high school,44197,3.3,3.1,6
23,1734,associate's degree,56475,3.2,3.2,4
28,1939,some college,69818,3.7,3.4,4
27,1917,some college,80716,3.6,3.5,5
28,1990,associate's degree,82973,3.7,3.4,6
29,2012,high school,71686,3.6,3.5,4
28,1941,some high school,46989,3.6,3.2,5
28,2047,master's degree,108318,4.0,3.8,4
29,1952,bachelor's degree,78605,3.7,3.4,4
23,1754,some high school,57529,3.1,3.2,4
30,2058,associate's degree,60477,4.0,3.3,8
31,2195,bachelor's degree,73999,4.0,3.3,5
29,2086,associate's degree,80694,4.0,3.5,4
35,2270,associate's degree,66663,4.0,3.8,4
